FID	IID	CLUSTER
1	"SS_14	"	Nyack_HA19
1	"SS_15	"	Nyack_HA19
1	"SS_16	"	Nyack_HA19
1	"SS_17	"	Nyack_HA19
1	"SS_18	"	Nyack_HA19
1	"SS_19	"	Nyack_HA19
1	"SS_20	"	Nyack_HA19
1	"SS_21	"	Nyack_HA19
1	"SS_22	"	Nyack_HA19
1	"SS_23	"	Nyack_HA19
1	"SS_24	"	Nyack_HA19
1	"SS_25	"	Nyack_HA19
1	"SS_26	"	Nyack_HA19
1	"SS_27	"	Nyack_HA19
1	"SS_28	"	Nyack_HA19
1	"SS_29	"	Nyack_HA19
1	"SS_30	"	Nyack_HA19
1	"SS_31	"	Nyack_HA19
1	"SS_32	"	Nyack_HA19
1	"SS_33	"	Nyack_HA19
1	"SS_34	"	Nyack_HA19
1	"SS_35	"	Nyack_HA19
1	"SS_36	"	Nyack_HA19
1	"SS_37	"	Nyack_HA19
1	"SS_38	"	Nyack_HA19
1	"SS_39	"	Nyack_HA19
1	"SS_40	"	Nyack_HA19
1	"SS_41	"	Nyack_HA19
1	"SS_42	"	Nyack_HA19
1	"SS_43	"	Nyack_HA19
1	"SS_45	"	Nyack_HA19
1	"SS_46	"	Nyack_HA19
1	"SS_47	"	Nyack_HA19
1	"SS_48	"	Nyack_HA19
1	"SS_49	"	Nyack_HA19
1	"SS_50	"	Nyack_HA19
1	"SS_51	"	Nyack_HA19
1	"SS_52	"	Nyack_HA19
1	"SS_53	"	Nyack_HA9
1	"SS_54	"	Nyack_HA9
1	"SS_55	"	Nyack_HA9
1	"SS_56	"	Nyack_HA9
1	"SS_57	"	Nyack_HA9
1	"SS_58	"	Nyack_HA9
1	"SS_59	"	Nyack_HA9
1	"SS_60	"	Nyack_HA9
1	"SS_61	"	Nyack_HA9
1	"SS_62	"	Nyack_HA9
1	"SS_63	"	Nyack_HA9
1	"SS_64	"	Nyack_HA9
1	"SS_65	"	Nyack_HA9
1	"SS_66	"	Nyack_HA9
1	"SS_67	"	Nyack_HA9
1	"SS_68	"	Nyack_HA9
1	"SS_69	"	Nyack_HA9
1	"SS_70	"	Nyack_HA9
1	"SS_71	"	Nyack_HA9
1	"SS_72	"	Nyack_HA9
1	"SS_73	"	Nyack_HA9
1	"SS_74	"	Nyack_HA9
1	"SS_75	"	Nyack_HA9
1	"SS_76	"	Nyack_HA9
1	"SS_77	"	Nyack_HA9
1	"SS_78	"	Nyack_HA9
1	"SS_79	"	Nyack_HA9
1	"SS_80	"	Nyack_HA9
1	"SS_81	"	Nyack_HA9
1	"SS_82	"	Nyack_HA9
1	"SS_83	"	Nyack_HA9
1	"SS_84	"	Nyack_HA9
1	"SS_85	"	Nyack_HA9
1	"SS_87	"	Nyack_HA9
1	"SS_89	"	Nyack_HA9
1	"SS_90	"	Nyack_HA9
1	"SS_91	"	Nyack_HA9
1	"SS_92	"	Nyack_HA15
1	"SS_93	"	Nyack_HA15
1	"SS_94	"	Nyack_HA15
1	"SS_95	"	Nyack_HA15
1	"SS_96	"	Nyack_HA15
1	"SS_97	"	Nyack_HA15
1	"SS_99	"	Nyack_HA15
1	"SS_100	"	Nyack_HA15
1	"SS_101	"	Nyack_HA15
1	"SS_102	"	Nyack_HA15
1	"SS_103	"	Nyack_HA15
1	"SS_104	"	Nyack_HA15
1	"SS_105	"	Nyack_HA15
